timestamp,imagen,duracion_s,ram_used_MB,Volt,Curr,power
2025-07-10 00:17:46,000184.jpg,0.17,3604748,5096,984,5014
2025-07-10 00:17:47,000185.jpg,0.323,3600424,5104,968,4940
2025-07-10 00:17:49,000186.jpg,0.103,3608044,5096,976,4981
2025-07-10 00:17:50,000187.jpg,0.327,3625104,5096,992,5055
2025-07-10 00:17:51,000188.jpg,0.111,3619920,5096,1024,5218
2025-07-10 00:17:52,000189.jpg,0.232,3608572,5096,984,5014
2025-07-10 00:17:54,000190.jpg,0.365,3591492,5112,896,4580
2025-07-10 00:17:57,000191.jpg,0.304,3602284,5104,936,4777
2025-07-10 00:17:58,000192.jpg,0.308,3604344,5096,984,5014
2025-07-10 00:17:59,000193.jpg,0.111,3601664,5104,920,4695
2025-07-10 00:18:01,000194.jpg,0.167,3618372,5096,1000,5096
2025-07-10 00:18:02,000195.jpg,0.337,3619792,5096,984,5014
2025-07-10 00:18:04,000196.jpg,0.169,3599212,5096,1008,5136
2025-07-10 00:18:05,000197.jpg,0.216,3598908,5088,1032,5250
2025-07-10 00:18:07,000198.jpg,0.286,3591636,5104,912,4654
2025-07-10 00:18:08,000199.jpg,0.305,3592504,5112,888,4539
2025-07-10 00:18:11,000200.jpg,0.173,3614848,5104,952,4859
2025-07-10 00:18:12,000201.jpg,0.19,3633132,5096,1000,5096
2025-07-10 00:18:13,000202.jpg,0.203,3611392,5096,1008,5136
2025-07-10 00:18:16,000203.jpg,0.278,3608452,5104,920,4695
2025-07-10 00:18:17,000204.jpg,0.24,3615776,5096,992,5014
2025-07-10 00:18:19,000205.jpg,0.171,3612972,5096,976,4973
2025-07-10 00:18:20,000206.jpg,0.278,3617176,5096,976,5014
2025-07-10 00:18:22,000207.jpg,0.104,3626764,5096,1016,5177
2025-07-10 00:18:23,000208.jpg,0.847,3610356,5096,1008,5136
2025-07-10 00:18:25,000209.jpg,0.328,3615764,5096,984,4973
2025-07-10 00:18:27,000210.jpg,0.19,3617620,5088,1032,5250
2025-07-10 00:18:28,000211.jpg,0.797,3625280,5096,1008,5096
2025-07-10 00:18:29,000212.jpg,0.171,3615680,5096,984,5014
2025-07-10 00:18:32,000213.jpg,0.325,3630692,5112,904,4621
2025-07-10 00:18:33,000214.jpg,0.258,3590272,5104,920,4695
2025-07-10 00:18:35,000215.jpg,0.365,3604224,5096,984,5014
2025-07-10 00:18:37,000216.jpg,0.232,3605952,5096,1008,5136
2025-07-10 00:18:39,000217.jpg,0.277,3599936,5112,888,4539
2025-07-10 00:18:41,000218.jpg,0.219,3611344,5112,880,4498
2025-07-10 00:18:42,000219.jpg,0.362,3626032,5088,1024,5210
2025-07-10 00:18:44,000220.jpg,0.19,3584848,5096,968,4932
2025-07-10 00:18:46,000221.jpg,0.284,3606788,5104,960,4932
2025-07-10 00:18:48,000222.jpg,0.173,3609796,5096,1000,5096
2025-07-10 00:18:50,000223.jpg,0.228,3607244,5096,1000,5055
2025-07-10 00:18:51,000224.jpg,0.117,3625756,5096,992,5055
2025-07-10 00:18:53,000225.jpg,0.311,3612668,5112,880,4498
2025-07-10 00:18:55,000226.jpg,0.348,3628976,5096,992,5055
2025-07-10 00:18:56,000227.jpg,0.118,3592820,5112,872,4457
2025-07-10 00:18:59,000228.jpg,0.201,3606428,5104,936,4777
2025-07-10 00:19:00,000229.jpg,0.121,3614324,5088,1032,5250
2025-07-10 00:19:01,000230.jpg,0.626,3639580,5104,952,4899
2025-07-10 00:19:03,000231.jpg,0.126,3622056,5096,1016,5177
2025-07-10 00:19:05,000232.jpg,0.316,3613072,5096,1000,5096
2025-07-10 00:19:07,000233.jpg,0.264,3608488,5112,912,4662
2025-07-10 00:19:09,000234.jpg,0.303,3612948,5096,992,5055
2025-07-10 00:19:10,000235.jpg,0.251,3617436,5096,1008,5136
2025-07-10 00:19:12,000236.jpg,0.848,3637448,5096,968,4932
2025-07-10 00:19:14,000237.jpg,0.115,3621004,5096,1008,5136
2025-07-10 00:19:15,000238.jpg,0.574,3596924,5112,896,4580
2025-07-10 00:19:18,000239.jpg,0.303,3612308,5104,936,4777
2025-07-10 00:19:20,000240.jpg,0.326,3618728,5088,1016,5177
2025-07-10 00:19:21,000241.jpg,0.125,3613708,5104,952,4859
2025-07-10 00:19:24,000242.jpg,0.201,3609384,5104,920,4695
2025-07-10 00:19:25,000243.jpg,0.204,3632524,5088,1040,5291
2025-07-10 00:19:26,000244.jpg,0.85,3602220,5104,920,4695
2025-07-10 00:19:29,000245.jpg,0.325,3622116,5096,1016,5177
2025-07-10 00:19:30,000246.jpg,0.117,3623872,5104,936,4777
2025-07-10 00:19:32,000247.jpg,0.29,3639568,5096,976,4973
2025-07-10 00:19:34,000248.jpg,0.274,3634288,5096,1000,5096
2025-07-10 00:19:36,000249.jpg,0.296,3654840,5096,1008,5136
2025-07-10 00:19:37,000250.jpg,0.276,3624260,5096,1016,5177
2025-07-10 00:19:39,000251.jpg,0.326,3624640,5104,952,4859
2025-07-10 00:19:41,000252.jpg,0.265,3619764,5096,984,5014
2025-07-10 00:19:43,000253.jpg,0.277,3634956,5104,920,4736
2025-07-10 00:19:46,000254.jpg,0.117,3636468,5104,936,4777
2025-07-10 00:19:47,000255.jpg,0.237,3624124,5088,1048,5332
2025-07-10 00:19:48,000256.jpg,0.863,3626612,5096,1000,5096
2025-07-10 00:19:50,000257.jpg,0.906,3621436,5096,968,4932
2025-07-10 00:19:53,000258.jpg,0.257,3617976,5096,984,5014
2025-07-10 00:19:55,000259.jpg,0.354,3616148,5104,912,4654
2025-07-10 00:19:57,000260.jpg,0.294,3605992,5096,976,4973
2025-07-10 00:19:59,000261.jpg,0.302,3598560,5104,912,4654
2025-07-10 00:20:01,000262.jpg,0.394,3626552,5096,976,4973
2025-07-10 00:20:03,000263.jpg,0.313,3614608,5120,792,4061
2025-07-10 00:20:06,000264.jpg,0.193,3632896,5104,952,4859
2025-07-10 00:20:07,000265.jpg,0.22,3627936,5088,1024,5210
2025-07-10 00:20:08,000266.jpg,0.93,3638512,5096,1016,5177
2025-07-10 00:20:10,000267.jpg,0.52,3622692,5096,992,5055
2025-07-10 00:20:12,000268.jpg,0.354,3602640,5096,960,4892
2025-07-10 00:20:14,000269.jpg,1.439,3632436,5096,1008,5136
2025-07-10 00:20:17,000270.jpg,0.313,3629368,5096,992,5055
2025-07-10 00:20:19,000271.jpg,0.29,3629188,5096,976,4973
2025-07-10 00:20:21,000272.jpg,0.325,3624120,5096,968,4973
2025-07-10 00:20:23,000273.jpg,0.319,3639208,5112,896,4580
2025-07-10 00:20:25,000274.jpg,0.436,3626296,5120,808,4136
2025-07-10 00:20:28,000275.jpg,0.179,3627424,5104,920,4736
2025-07-10 00:20:30,000276.jpg,0.43,3611564,5104,928,4695
2025-07-10 00:20:32,000277.jpg,0.358,3611348,5096,992,5055
2025-07-10 00:20:34,000278.jpg,0.305,3618356,5112,904,4654
2025-07-10 00:20:37,000279.jpg,0.178,3630332,5096,992,5055
2025-07-10 00:20:38,000280.jpg,0.133,3624996,5088,1032,5250
2025-07-10 00:20:39,000281.jpg,1.108,3606140,5128,792,4061
2025-07-10 00:20:43,000282.jpg,0.104,3617640,5104,952,4859
2025-07-10 00:20:44,000283.jpg,0.308,3651352,5096,984,5014
2025-07-10 00:20:46,000284.jpg,0.73,3645764,5096,960,4899
2025-07-10 00:20:48,000285.jpg,0.536,3619752,5096,1000,5096
2025-07-10 00:20:50,000286.jpg,0.894,3629992,5096,1016,5169
2025-07-10 00:20:53,000287.jpg,0.455,3615416,5096,968,4932
2025-07-10 00:20:55,000288.jpg,0.3,3651156,5104,936,4777
2025-07-10 00:20:57,000289.jpg,1.208,3610104,5096,992,5055
2025-07-10 00:21:00,000290.jpg,0.269,3623308,5096,976,4973
2025-07-10 00:21:02,000291.jpg,0.198,3631676,5096,1000,5096
2025-07-10 00:21:04,000292.jpg,1.034,3625492,5112,904,4621
2025-07-10 00:21:07,000293.jpg,0.307,3613720,5128,784,4014
2025-07-10 00:21:10,000294.jpg,0.201,3628580,5096,976,4973
2025-07-10 00:21:12,000295.jpg,0.307,3616360,5096,992,5055
2025-07-10 00:21:14,000296.jpg,0.297,3639572,5104,944,4818
2025-07-10 00:21:17,000297.jpg,0.675,3656388,5096,984,5014
2025-07-10 00:21:19,000298.jpg,0.128,3653728,5096,1016,5177
2025-07-10 00:21:20,000299.jpg,0.207,3638696,5096,1008,5136
2025-07-10 00:21:23,000300.jpg,0.56,3643108,5096,976,4973
2025-07-10 00:21:25,000301.jpg,0.303,3673496,5096,984,4973
2025-07-10 00:21:28,000302.jpg,0.421,3630108,5096,1000,5096
2025-07-10 00:21:30,000303.jpg,0.296,3620740,5104,936,4777
2025-07-10 00:21:32,000304.jpg,0.261,3612692,5104,920,4695
2025-07-10 00:21:34,000305.jpg,0.302,3648612,5112,912,4654
2025-07-10 00:21:37,000306.jpg,0.272,3654212,5104,928,4736
2025-07-10 00:21:39,000307.jpg,0.289,3607972,5112,896,4580
2025-07-10 00:21:42,000308.jpg,0.18,3610776,5112,904,4621
2025-07-10 00:21:45,000309.jpg,0.897,3634424,5096,1008,5136
2025-07-10 00:21:47,000310.jpg,0.642,3665352,5104,936,4777
2025-07-10 00:21:49,000311.jpg,0.316,3611432,5104,944,4777
2025-07-10 00:21:52,000312.jpg,0.204,3611872,5096,1000,5096
2025-07-10 00:21:54,000313.jpg,0.295,3637376,5096,984,5014
2025-07-10 00:21:57,000314.jpg,0.555,3657164,5096,984,5014
2025-07-10 00:21:59,000315.jpg,0.271,3640264,5104,944,4777
2025-07-10 00:22:01,000316.jpg,1.014,3641928,5096,1008,5136
2025-07-10 00:22:04,000317.jpg,0.123,3642816,5096,1000,5096
2025-07-10 00:22:06,000318.jpg,0.187,3648004,5104,912,4654
2025-07-10 00:22:09,000319.jpg,0.352,3636552,5104,920,4695
2025-07-10 00:22:13,000320.jpg,0.202,3646972,5104,928,4736
2025-07-10 00:22:15,000321.jpg,0.305,3649944,5104,936,4695
2025-07-10 00:22:16,000322.jpg,0.152,3666088,5096,984,5014
2025-07-10 00:22:18,000323.jpg,1.508,3659020,5104,936,4777
2025-07-10 00:22:22,000324.jpg,0.234,3653044,5096,992,5055
2025-07-10 00:22:25,000325.jpg,1.035,3620220,5104,920,4654
2025-07-10 00:22:28,000326.jpg,0.17,3663004,5088,1032,5250
2025-07-10 00:22:30,000327.jpg,1.647,3617280,5096,1016,5169
2025-07-10 00:22:33,000328.jpg,0.18,3603592,5096,984,5014
2025-07-10 00:22:35,000329.jpg,1.842,3649132,5096,992,5055
2025-07-10 00:22:39,000330.jpg,0.977,3655864,5096,1008,5136
2025-07-10 00:22:41,000331.jpg,0.47,3630484,5096,992,5014
2025-07-10 00:22:44,000332.jpg,1.606,3629140,5104,944,4818
2025-07-10 00:22:47,000333.jpg,0.191,3643496,5112,888,4498
2025-07-10 00:22:51,000334.jpg,0.191,3630976,5096,976,4973
2025-07-10 00:22:53,000335.jpg,1.27,3613840,5112,848,4334
